LAST SEEN   TYPE      REASON                              OBJECT                                     MESSAGE
23m         Warning   PossibleMemoryBackedVolumesOnDisk   node/minikube                              The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
23m         Normal    Starting                            node/minikube                              Starting kubelet.
23m         Warning   CgroupV1                            node/minikube                              Cgroup v1 support is in maintenance mode, please migrate to Cgroup v2.
23m         Normal    NodeHasSufficientMemory             node/minikube                              Node minikube status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure               node/minikube                              Node minikube status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID                node/minikube                              Node minikube status is now: NodeHasSufficientPID
23m         Normal    NodeAllocatableEnforced             node/minikube                              Updated Node Allocatable limit across pods
23m         Warning   PossibleMemoryBackedVolumesOnDisk   node/minikube                              The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
23m         Normal    Starting                            node/minikube                              Starting kubelet.
23m         Warning   CgroupV1                            node/minikube                              Cgroup v1 support is in maintenance mode, please migrate to Cgroup v2.
23m         Normal    NodeAllocatableEnforced             node/minikube                              Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientMemory             node/minikube                              Node minikube status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure               node/minikube                              Node minikube status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID                node/minikube                              Node minikube status is now: NodeHasSufficientPID
23m         Normal    RegisteredNode                      node/minikube                              Node minikube event: Registered Node minikube in Controller
22m         Normal    Starting                            node/minikube                              
4m43s       Normal    Scheduled                           pod/scaletestapp-85449f4676-2pgct          Successfully assigned default/scaletestapp-85449f4676-2pgct to minikube
4m43s       Normal    Pulling                             pod/scaletestapp-85449f4676-2pgct          Pulling image "shestera/scaletestapp"
4m40s       Normal    Pulled                              pod/scaletestapp-85449f4676-2pgct          Successfully pulled image "shestera/scaletestapp" in 1.308s (2.618s including waiting). Image size: 10812245 bytes.
4m40s       Normal    Created                             pod/scaletestapp-85449f4676-2pgct          Created container scaletestapp
